transaction_text,merchant,amount,date,label
Online payment to spotify,spotify,4484.56,2025-01-28,entertainment
DEBIT CARD TATA POWER 1491,tata power,1491.67,2025-02-24,utilities
Txn 17932: ajio 2089.94,ajio,2089.94,2025-10-15,shopping
PURCHASE netflix Ref#7336,netflix,4662.16,2025-08-17,entertainment
IMPS transfer to kfc,kfc,3141.3,2025-04-19,restaurants
POS flipeart 2067 TXN,flipkart,2067.97,2025-08-07,shopping
TXN 80274: VENDIKIN 4061.88,vendikin,4061.88,2025-01-21,restaurants
Txn 73414: Goibibo 2386O93,goibibo,2386.93,2025-06-21,travel
PURCHASE ajio Ref#9084,ajio,1832.43,2025-04-07,shopping
PAYMENT TO mcdonalds VIA NETBANKING,mcdonalds,2284.56,2025-03-12,restaurants
Txn 19911: zomato 1429.68,zomato,1429.68,2025-08-04,restaurants
payment to goibibo via netbanking,goibibo,2791.84,2025-03-16,travel
POS olah4727 TXN,ola,4727.1,2025-07-11,travel
Txn 58920: spencers 4685.23,spencers,4685.23,2025-04-24,groceries
mcdonalds *1361 POS Txn,mcdonalds,799.79,2025-04-22,restaurants
hotstar *5062 POS Txn,hotstar,1555.81,2024-11-10,entertainment
Pos Uber 833 Txn,uber,833.97,2025-07-29,travel
bookmyshow *5641 POS Txn,bookmyshow,3976.68,2025-02-03,entertainment
PAYMENT TO mcdonalds VIA NETBANKING,mcdonalds,584.12,2025-10-16,restaurants
PURCHASE airtel broadband Ref#7621,airtel broadband,4290.35,2024-11-14,utilities
Online payient to nykaa PAY4285,nykaa,3342.56,2025-07-23,shopping
IMPS transfer to flipkart,flipkart,495.42,2024-12-21,shopping
Debit Card Tata Power 178,tata power,178.98,2025-10-12,utilities
PURCHASE vendikin Ref#9118,vendikin,3805.72,2025-03-20,restaurants
IMPs tRAnsFer to uBeR,uber,233.82,2025-04-05,travel
POS mcdonalds 2359 TXN,mcdonalds,2359.39,2025-10-20,restaurants
UPI payment tk irctc@ybl,irctc,2263.82,2024-12-01,travel
DEBIT CARD FLIPKART 4049,flipkart,4049.38,2025-03-28,shopping
Online payment to dmart,dmart,592.63,2025-01-21,groceries
POS myntra 2181 TXN,myntra,2181.45,2025-01-26,shopping
DEBIT CARD TATA POWER 4714,tata power,4714.86,2024-12-28,utilities
POS bookmyshow 506 TXN,bookmyshow,506.85,2025-04-20,entertainment
UjIzpaymeot zo bigdbazaar@ybl,big bazaar,4977.0,2025-02-26,groceries
UPI payment to zomato@ybl,zomato,3843.7,2025-08-02,restaurants
Online payyent to bescom,bescom,2932.66,2025-03-20,utilities
payment tb netflixsvia netbalking,netflix,637.66,2025-05-13,entertainment
DEBIT CARD AIRTEL BROADBAND 4544,airtel broadband,4544.79,2025-03-29,utilities
DEBIT CARD MYNTRA 562,myntra,562.8,2025-05-28,shopping
PURCHASE bescom Ref#6416,bescom,461.68,2024-12-13,utilities
kfc *5914 POS Txn,kfc,2824.75,2025-07-20,restaurants
flipkart *9903 pos txn,flipkart,1791.04,2025-07-15,shopping
POS zee5 3120 TXN PAY2099,zee5,3120.88,2024-11-29,entertainment
UPI payment to bookmyshow@ybl,bookmyshow,213.75,2025-10-28,entertainment
PAYMENT TO myntra VIA NETBANKING NEFT7938,myntra,2412.26,2025-07-23,shopping
Txn 38986: spencers 4369.7,spencers,4369.7,2025-06-06,groceries
IMPS transfer td zee5,zee5,2534.24,2025-09-22,entertainment
Txn 13699: bescom 4577.48,bescom,4577.48,2025-10-11,utilities
IMPS transfer to netflix POS7270,netflix,3082.3,2025-08-15,entertainment
UPI paymenb to kfc@ybl,kfc,545.99,2025-08-04,restaurants
POs moRe sUPeRmARket 4528 TXN PAy8034,more supermarket,4528.41,2025-10-01,groceries
DEBIT CARD RELIANCE FRESH 304,reliance fresh,304.92,2025-10-23,groceries
DEBIT CARD NETFLIX 677,netflix,677.84,2025-10-26,entertainment
Txn 34488: netflix 4111.87,netflix,4111.87,2025-11-03,entertainment
PAYMENT TO vodafone VIA NETBANKING,vodafone,2467.27,2024-12-06,utilities
bescom *3274 POS Txn,bescom,374.48,2025-04-03,utilities
Online Payment To Bookmyshow,bookmyshow,782.27,2025-09-01,entertainment
Onlike payment to zee5,zee5,307.35,2025-09-24,entertainment
UPI payment to ola@ybl,ola,500.27,2025-05-31,travel
PAYMENT TO amazon VIA NETBANKING,amazon,458.98,2025-04-22,shopping
PURCHASE tata power Ref#4773 Online7977,tata power,3738.07,2025-11-04,utilities
IMPS transferkto swiggy,swiggy,1741.79,2025-02-12,restaurants
PAYMENT TO dominos VIA NETBANKING,dominos,4836.17,2025-09-10,restaurants
Online Payment To Dmart,dmart,340.32,2025-04-19,groceries
PURCHASE reliance fresh Ref#2942,reliance fresh,4939.69,2025-02-07,groceries
Online payment to mcdonalds,mcdonalds,2525.74,2025-08-18,restaurants
pAfMENT TO BEscom vRA NeTBAnkinG,bescom,321.92,2025-02-01,utilities
upi mayMeNT tO aIRteL BrOAdBAND@YBL,airtel broadband,4099.11,2025-02-03,utilities
DEBIT CARD AJIO 1211,ajio,1211.48,2025-06-21,shopping
Txn 40699: dmart 4227.03,dmart,4227.03,2025-10-19,groceries
goibibo *1025 POS Txn,goibibo,818.18,2024-12-03,travel
Online payment to netflix,netflix,3849.13,2025-05-13,entertainment
IMPS transfer to goibibo,goibibo,2505.7,2024-12-05,travel
Txn 22728: Vendikin 3276.25,vendikin,3276.25,2025-07-21,restaurants
UPI payment to indigo@ybl,indigo,2644.77,2024-11-09,travel
Txn 92185: Vendikin 1470.45 Upi4265,vendikin,1470.45,2025-01-11,restaurants
PAYMENT TO zee5 VIA NETBANKING,zee5,1034.11,2025-09-26,entertainment
PURCHASE hotstar Ref#5860,hotstar,347.87,2025-01-01,entertainment
more supermarket *8286 POS Txn,more supermarket,287.34,2025-09-26,groceries
PAYMENT TO big bazaar VIA NETBANKING,big bazaar,3905.0,2025-05-21,groceries
Txn 65219: oly 406.27,ola,406.27,2024-11-21,travel
DebiT CaRD AirteL BrOadbanD 256,airtel broadband,256.67,2024-11-29,utilities
PAYMENT TO more supermarket VIA NETBANKING,more supermarket,402.36,2025-03-01,groceries
POS flipkart 4564 TXN IMPS3012,flipkart,4564.34,2025-05-23,shopping
PURCHASE netflix Ref#8660,netflix,4922.2,2025-02-19,entertainment
PURCHASE dmart Ref#6847,dmart,553.32,2025-07-30,groceries
Online payment to mcdonalds,mcdonalds,4323.71,2025-05-24,restaurants
POS goibibo 4382 TXN,goibibo,4382.81,2025-09-30,travel
Txn 25600: ola 559.05,ola,559.05,2025-04-09,travel
POS amazon 3033 TXN,amazon,3033.99,2025-10-15,shopping
dmart *1812 POS Txn,dmart,2071.4,2025-03-02,groceries
txn 88739: amazon 3731.93 ref9339,amazon,3731.93,2024-12-10,shopping
PAYMENT TO mcdonalds VIA NETBANKING,mcdonalds,1947.68,2024-11-21,restaurants
pos irctc 2471 txn upi3285,irctc,2471.91,2025-11-03,travel
imps TRANsfER TO SWiGgy,swiggy,1272.33,2025-09-18,restaurants
DEBIT CARD NYKAA 4811,nykaa,4811.61,2025-06-16,shopping
PURCHASE flipkart Ref#5182,flipkart,1855.45,2024-12-08,shopping
Tbn 12867: Ircdc 3264.26,irctc,3264.26,2024-11-13,travel
UPI payment to dmart@ybl Online7325,dmart,3674.02,2025-01-18,groceries
UPI payment to swiggy@ybl,swiggy,1986.6,2025-08-17,restaurants
IMPS transzer to zomato,zomato,3097.05,2025-04-14,restaurants
POS zee5 4148 TXN NEFT4933,zee5,4148.78,2025-04-11,entertainment
PURCHASEhnykaa Ref#13t8,nykaa,2173.24,2024-11-14,shopping
UPI payment to zomato@ybl,zomato,3679.7,2025-07-20,restaurants
payment to airtel broadband via netbanking pos1055,airtel broadband,2598.36,2025-11-03,utilities
upi payment to zee5@ybl,zee5,4919.23,2025-10-17,entertainment
PURCHASE hotstar Ref#9132,hotstar,4260.69,2025-07-30,entertainment
IMPS transfer to amazon,amazon,3931.59,2024-12-02,shopping
IMPS transfer to bescom,bescom,2135.95,2025-06-15,utilities
Pos Goibibo 393 Txn,goibibo,393.4,2025-09-18,travel
UPI paymenz to bwssb@ybl,bwssb,2592.41,2025-11-05,utilities
UPI payment to bookmyshow@ybl,bookmyshow,1734.45,2025-05-21,entertainment
PURCHASE flipkart Ref#2113,flipkart,729.7,2025-01-23,shopping
PAYMENT TO dmart VIA NETBANKING,dmart,3063.36,2025-01-12,groceries
IMPS transfen to bwssb,bwssb,3203.18,2025-10-23,utilities
PAYMENT TO bwssb VIA NETBANKING Ref5060,bwssb,2284.74,2025-01-11,utilities
IMPS transfer to bescom,bescom,4818.97,2025-04-12,utilities
Online payment to hotstar,hotstar,2215.63,2025-03-09,entertainment
DEBIT CARD GOIBIBO 1659 PAY4625,goibibo,1659.87,2025-01-13,travel
IMPS transfer to uber UPI8628,uber,80.12,2024-12-10,travel
IMPS tranwfer tf flipkart NEFT4118,flipkart,3024.59,2025-02-17,shopping
online payment to uber,uber,1959.19,2025-10-16,travel
Txn 39332: zomato 1383.95,zomato,1383.95,2025-07-28,restaurants
Online payment to bookmyshow,bookmyshow,2612.15,2025-08-29,entertainment
PaRCHASE indigolRef#1707 NEFT2190,indigo,1134.54,2025-04-16,travel
POS flipkart 4788 TXN,flipkart,4788.44,2024-12-12,shopping
Txn 27790: bescom 295.97,bescom,295.97,2024-12-12,utilities
irctc *2361 POS Txn,irctc,4336.15,2025-10-04,travel
flipkart *2874 POS Txn,flipkart,1246.19,2025-10-06,shopping
PURCHASE dmart Ref#9440,dmart,3183.77,2025-03-04,groceries
UPI payment to vendikin@ybl,vendikin,4007.13,2025-03-23,restaurants
airtel broadband *1279 POS Txn,airtel broadband,1938.45,2025-10-26,utilities
UPI payment to tata power@ybl,tata power,3146.49,2025-09-14,utilities
FLIPKART *1920 POB TXN UPI4076,flipkart,2943.27,2025-04-09,shopping
Onllke payment to swiggy,swiggy,3886.63,2025-11-03,restaurants
Txn 87814: indigo 370.85 PAY8768,indigo,370.85,2025-04-12,travel
Purchase Dominos Ref#2609,dominos,3404.11,2025-05-10,restaurants
UPI payment to irctc@ybl,irctc,128.38,2025-08-22,travel
Txn 46708: kfc 2435.71,kfc,2435.71,2025-07-25,restaurants
PAYMENT TO BOOKMYSHOW VIA NETBANKING,bookmyshow,1575.91,2024-11-29,entertainment
DEBIT CARD AIRTEL BROADBAND 798,airtel broadband,798.3,2025-01-06,utilities
UPI payment to flipkart@ybl,flipkart,4717.05,2025-08-24,shopping
Online payment to kfc PAY9189,kfc,4117.63,2025-05-27,restaurants
Purchase Airtel Broadband Ref#6722,airtel broadband,4565.37,2025-03-21,utilities
flipkart *7958 POS Txn,flipkart,2856.3,2025-01-27,shopping
DEBIT CARD TATA POWER 1267,tata power,1267.0,2025-07-09,utilities
POS dmart 4111 TXN,dmart,4111.85,2025-03-27,groceries
rOS bookmyshow o019 TXN,bookmyshow,3019.78,2024-12-31,entertainment
IMPS transfer to dmart,dmart,4764.48,2025-05-06,groceries
UPi pAymEnt TO FLIpkArt@yBl,flipkart,2184.0,2025-01-19,shopping
Txn 21355: dmart 2193.0,dmart,2193.0,2025-06-02,groceries
UPI PAYMENT TO AMAZON@YBL,amazon,4990.46,2024-11-28,shopping
DEBIT CARD TATA POWER 2269 Online2290,tata power,2269.71,2024-11-13,utilities
DEBIT CARD BESCOM 1602,bescom,1602.61,2025-08-16,utilities
UPI payment to zee5@ybl,zee5,1273.62,2025-01-23,entertainment
ONLINE PAYMENTVTO SPENCERS,spencers,264.71,2025-01-25,groceries
Txn 54707: zee5 188.65,zee5,188.65,2025-05-13,entertainment
Txn 39424: kfc 1177.09 IMPS6221,kfc,1177.09,2025-09-21,restaurants
DEBIT CARD TATA POWER 3104,tata power,3104.78,2025-10-18,utilities
Txn 71587: kfc 4104.86,kfc,4104.86,2025-10-26,restaurants
IMPS transfer to bescom,bescom,609.75,2025-05-04,utilities
PURCHASE big bazaar Ref#4199,big bazaar,1796.71,2024-12-26,groceries
UPI payment to irctc@ybl,irctc,2305.03,2025-02-06,travel
online payment to bookmyshow,bookmyshow,3064.9,2025-01-14,entertainment
POS indigo 2609 TXN Ref9821,indigo,2609.53,2024-12-15,travel
Debit Card Uber 1290,uber,1290.2,2025-01-06,travel
PURCHASE kfc Ref#1556,kfc,423.21,2025-10-05,restaurants
Debit Card Dmart 1616 Online8358,dmart,1616.67,2025-05-06,groceries
pAyMent to BwSSb vIA NEtbaNKinG reF2649,bwssb,3247.17,2025-04-29,utilities
POS zee5 3310 TXN,zee5,3310.61,2025-01-25,entertainment
Online payment to indigo,indigo,4079.72,2025-05-16,travel
POS big bazaar 3172 TXN,big bazaar,3172.12,2025-01-18,groceries
ONLINE PAYMENT TO INDIGO,indigo,1815.1,2025-10-19,travel
Online payment to bescom,bescom,783.4,2025-02-04,utilities
Online payment to spotify,spotify,1291.64,2025-05-04,entertainment
UPI payment to vodafone@ybl,vodafone,3822.49,2025-06-19,utilities
debit card reliance fresh 2234,reliance fresh,2234.96,2025-01-16,groceries
DEBIT CARD INDIGO 728,indigo,728.03,2025-02-10,travel
PURCHASE ola Reu#4964,ola,3365.34,2025-08-30,travel
Ojline tayment to kdc Online8138,kfc,3992.92,2024-11-30,restaurants
IMPS transfer to nykaa POS8200,nykaa,880.53,2025-06-25,shopping
Online payment vo indigo,indigo,1438.69,2025-08-05,travel
spencers *6909 POS Txn,spencers,4169.82,2025-03-13,groceries
Imps Transfer To Nykaa Online6951,nykaa,3403.56,2024-11-23,shopping
PURCHASE vendikin Ref#8525,vendikin,1083.83,2025-09-09,restaurants
paYmEnt to bookmyShOw ViA netBaNKIng,bookmyshow,2202.68,2025-06-28,entertainment
Online payment to flipkart,flipkart,1218.95,2025-02-11,shopping
POS NYKAA 1129 TXN,nykaa,1129.33,2025-03-15,shopping
IMPS transfer to hotstar,hotstar,2477.42,2025-10-19,entertainment
DEBIT CARD SWIGGY 2413,swiggy,2413.43,2025-09-18,restaurants
IMPS transfer to netflix,netflix,2786.01,2025-08-21,entertainment
DEBIT CARD UBER 3446,uber,3446.69,2025-10-15,travel
IMPS transfer to zee5 PAY7342,zee5,1826.92,2025-08-17,entertainment
IMPS TRANSFER TO GOIBIBO,goibibo,1463.65,2025-04-30,travel
reliance fresh *5627 POS Txn,reliance fresh,1591.06,2025-04-24,groceries
PURCHASE amazon Ref#3233,amazon,3108.9,2025-10-14,shopping
Txn 20060: bwssb 169.97 UPI4830,bwssb,169.97,2025-10-14,utilities
POS big bazaar 4468 TXN TXN6852,big bazaar,4468.81,2025-02-03,groceries
UPI payment to spencers@ybl,spencers,1295.15,2025-05-30,groceries
UPI payment to uber@ybl,uber,1729.05,2024-11-25,travel
DEBIT CARD AMAZON 1448,amazon,1448.55,2025-05-08,shopping
imps transfer to goibibo,goibibo,762.63,2025-09-30,travel
kfc *9152 POS Txn,kfc,946.2,2024-12-19,restaurants
IMPS tRANSfeR TO goIbIBO,goibibo,4957.95,2025-05-08,travel
UPI payment to ola@ybl,ola,3985.43,2025-01-08,travel
DEBIT CARD ZOMATO 4889,zomato,4889.74,2025-08-24,restaurants
Txn 17739: zee5 4379.5,zee5,4379.5,2025-06-04,entertainment
DEBIT CARD KFC 2165 PAY7553,kfc,2165.21,2025-04-27,restaurants
Txn 39716: netflix 2901.49,netflix,2901.49,2025-01-02,entertainment
imps tralsfer to indigo,indigo,4913.41,2025-06-02,travel
UPI payment to amazon@ybl,amazon,1331.23,2025-09-01,shopping
zee5 *1304 POS Txn,zee5,1172.42,2025-05-26,entertainment
PAYMENT TO RELIANCE FRESH VIA NETBANKING,reliance fresh,371.27,2025-05-04,groceries
PURCHASE hotstar Ref#8105,hotstar,1860.31,2025-05-17,entertainment
Txn 35479: uber 3596.77,uber,3596.77,2025-05-08,travel
irctc *5856 POS Txn,irctc,1967.43,2025-07-24,travel
PURCHASE indigo Ref#9366,indigo,2292.95,2025-10-28,travel
Txn 82380: bwspb 828.2,bwssb,828.2,2025-10-05,utilities
PURCHASE reliance fresh Ref#3015,reliance fresh,3316.52,2024-12-08,groceries
PURCHASE mcdonalds Ref#4237,mcdonalds,2031.82,2025-09-01,restaurants
IMPS transfer to indigo,indigo,1369.96,2025-05-10,travel
dEBit CaRd VENdIkIn 4781,vendikin,4781.78,2025-01-31,restaurants
Online payment to flipkart,flipkart,3356.69,2025-03-23,shopping
DEBIT CARD FLIPKART 2483,flipkart,2483.31,2025-01-21,shopping
Txn 29957: amazon 2083.92,amazon,2083.92,2025-03-11,shopping
Online payment to more supermarket,more supermarket,2908.01,2025-07-12,groceries
Ton 46589: airtel broadband 4576.23,airtel broadband,4576.23,2025-09-20,utilities
PAYMENT TO ajio VIA NETBANKING,ajio,2856.71,2025-08-08,shopping
Online payment to amazon,amazon,579.05,2025-01-17,shopping
Online payment to airtel broadband,airtel broadband,1058.2,2024-12-21,utilities
DEBIT CARD HOTSTAR 1678 NEFT5330,hotstar,1678.58,2025-02-17,entertainment
DEBIT CARD GOIBIBO 3275 IMPS6167,goibibo,3275.08,2025-06-17,travel
UPI payment to bescom@ybl,bescom,1196.03,2025-08-11,utilities
qPI payment to netflii@ybl,netflix,488.97,2025-07-04,entertainment
UPI payment to ajio@ybl,ajio,2036.9,2025-04-26,shopping
POS dominos 1098 TXN,dominos,1098.85,2025-09-28,restaurants
IMPS transfer to irctc,irctc,4232.01,2024-11-22,travel
airtel broadband *1179 POS Txn,airtel broadband,244.41,2025-08-12,utilities
IMPh tracsder to netqlix,netflix,3922.7,2024-12-04,entertainment
PURCHASE reliance fresh Ref#6137,reliance fresh,2719.66,2025-03-01,groceries
PAYMENT TO vodafone VIA NETBANKING,vodafone,4791.41,2025-08-14,utilities
bescom *5398 POS Txn,bescom,2208.36,2025-05-11,utilities
DEBIT caRD VeNDiKin 372,vendikin,372.26,2025-07-05,restaurants
UPI payment to reliance fresh@ybl,reliance fresh,2598.03,2025-06-21,groceries
POS uber 282 TXN,uber,282.1,2025-07-04,travel
POS swiggy 3330 TXN,swiggy,3330.77,2025-09-03,restaurants
POS hotstar 3273 TXN,hotstar,3273.12,2025-05-19,entertainment
PAYMENT TO tata power VIA zETBANKING,tata power,1443.72,2025-02-09,utilities
Upi Payment To Reliance Fresh@Ybl Txn8194,reliance fresh,2897.11,2025-04-12,groceries
IMPS transfer to bookmyshow,bookmyshow,2679.46,2025-05-05,entertainment
UPI payment to myntra@ybl,myntra,4115.4,2025-05-20,shopping
PURCHASE bwssb Req#5479,bwssb,3398.52,2025-01-08,utilities
reliance fresh *1330 POS Txn,reliance fresh,3420.04,2025-02-22,groceries
PURCHASE airtel broadband Ref#8031,airtel broadband,4089.26,2024-11-15,utilities
Txn 43535: netflix 1628.44,netflix,1628.44,2025-04-30,entertainment
payment to big bazaar via netbanking,big bazaar,395.7,2025-09-15,groceries
DEBIT CARD MCDONALDS 485,mcdonalds,485.64,2025-10-19,restaurants
online payment to indigo,indigo,3910.71,2025-02-24,travel
DEBIT CARD ZEE5 2635,zee5,2635.67,2025-03-21,entertainment
bwssb *6620 POS Txn,bwssb,3842.84,2025-09-22,utilities
payment to tata power via netbanking,tata power,1441.04,2024-11-23,utilities
Online payment to vendikin,vendikin,474.95,2025-04-02,restaurants
UPI payment to kfc@ybl,kfc,4221.34,2025-04-23,restaurants
uber *7190 POS Txn,uber,4126.59,2025-04-07,travel
IMPS TRANSFER TO SPOTIFY,spotify,890.4,2025-02-20,entertainment
Txn 67052: Bookmyshow 2566.6,bookmyshow,2566.6,2025-10-01,entertainment
reliance fresh *6726 POS Txn,reliance fresh,3899.55,2025-10-15,groceries
netflix *9226 pos txn,netflix,3747.49,2025-07-18,entertainment
PURCgASE more supermqrket Ref#2215,more supermarket,1326.69,2025-01-13,groceries
POS irctc 2717 TXN,irctc,2717.04,2025-07-27,travel
wOS indigo 4208 TXN,indigo,4208.58,2025-03-16,travel
Txn 70722: netflix 4913.11,netflix,4913.11,2025-02-28,entertainment
DEBIT CARD INDInO 1578,indigo,1578.83,2025-07-07,travel
BWSSB *8148 POS TXN,bwssb,4406.96,2025-07-07,utilities
pUrchaSE ZoMatO rEf#2711,zomato,391.62,2025-09-28,restaurants
Txn 47914: bookmyshow 458.4 TXN8659,bookmyshow,458.4,2025-10-08,entertainment
dhbit card myntra 3m84 pay1853,myntra,3084.07,2025-09-14,shopping
POS more supermarket 3883 TXN,more supermarket,3883.13,2024-11-15,groceries
Txn 20581: bookmyshow 1729.6,bookmyshow,1729.6,2025-01-03,entertainment
Txn 25641: dmart 1164.38,dmart,1164.38,2025-05-13,groceries
Online Payment To Indigo,indigo,835.9,2025-10-30,travel
DEBIT CARD GOIBIBO 2776,goibibo,2776.69,2025-05-25,travel
tXN 34748: NEtfliX 4510.13,netflix,4510.13,2024-12-05,entertainment
Txn 29678: hotstar 2207.65,hotstar,2207.65,2025-06-25,entertainment
Txn 80797: spotify 2849.31,spotify,2849.31,2024-11-21,entertainment
Online payment to uber,uber,4786.26,2025-06-14,travel
PURCHASE mcdonalds Ref#8192,mcdonalds,3527.58,2025-04-21,restaurants
PURCHASE dominos Ref#5987,dominos,731.61,2024-12-04,restaurants
axn 31344:rgoibibo 4585.95,goibibo,4585.95,2025-09-16,travel
UPI payment to irctc@ybl,irctc,2282.55,2025-05-29,travel
DEBIT CARD NYKAA 417,nykaa,417.78,2025-02-18,shopping
Online payment to indigo,indigo,4541.91,2025-04-01,travel
DEBIT CARD NYKAA 836,nykaa,836.0,2025-03-20,shopping
UPI payment to airtel broadband@ybl,airtel broadband,4298.05,2024-11-16,utilities
DEBIT CARD ZOMATO 1829,zomato,1829.26,2025-05-07,restaurants
UPI payment to airtel broadband@ybl,airtel broadband,1278.72,2025-08-12,utilities
Txn 66148: irctc al72.2s,irctc,4772.26,2025-04-16,travel
PURCHAhE nykaa Rbf#z6t6,nykaa,2185.57,2025-08-01,shopping
POS goibibo 542 TXN,goibibo,542.94,2025-02-08,travel
DEBIT CARD MORE SUPERMARKET 4074,more supermarket,4074.44,2025-03-28,groceries
PURCHASE airtel broadband Ref#7784,airtel broadband,3383.93,2025-05-20,utilities
DEBIT CARD ZOMATO 1510,zomato,1510.89,2025-10-25,restaurants
DEBIT CARD MYNTRA 4640,myntra,4640.31,2024-11-18,shopping
PURCHASE zee5 Ref#7304,zee5,2296.8,2025-07-24,entertainment
IMPS transfer to airtel broadband,airtel broadband,210.36,2025-01-11,utilities
TXN 31540: SPENCERS 2750.78,spencers,2750.78,2025-08-21,groceries
debit card indigo 4635,indigo,4635.91,2025-05-03,travel
DEBIT CARD AIRTEL BROADBAND 4793,airtel broadband,4793.37,2025-07-20,utilities
IMPS transfer to tata power,tata power,4293.48,2025-01-10,utilities
Online payment to mcdonalds,mcdonalds,2503.67,2025-01-04,restaurants
debit card uber 1618,uber,1618.8,2025-02-22,travel
Pos Amazon 1982 Txn,amazon,1982.58,2025-10-01,shopping
PURCHASE zomato Ref#3279,zomato,2313.97,2025-04-11,restaurants
UPI payment to indigo@ybl,indigo,955.6,2025-02-04,travel
IMPS transfer to spotify,spotify,4897.9,2025-11-02,entertainment
Txn 67335: mcdonalds 3777.28,mcdonalds,3777.28,2024-11-29,restaurants
upi payment to tata power@ybl neft2272,tata power,4123.11,2025-02-26,utilities
bescom *2548 POS Txn,bescom,4931.49,2025-05-02,utilities
pos zee5 1369 txn,zee5,1369.66,2025-08-17,entertainment
UPI payment to ola@ybl,ola,308.74,2024-12-08,travel
PURCHASE kfc Ref#2393,kfc,4437.51,2025-05-30,restaurants
kxn 8i599: swisgy 2231.53,swiggy,2231.53,2025-07-23,restaurants
Dmart *3897 Pos Txn Upi8364,dmart,4255.85,2024-12-07,groceries
PAYMENT TO more supermarket VIA NETBANKING,more supermarket,3226.55,2025-08-18,groceries
Online payment to dmart,dmart,907.74,2025-07-17,groceries
PAYMENT TO dominos VIA NETBANKING,dominos,3183.8,2025-08-12,restaurants
imps transfer to indigo,indigo,1958.6,2025-02-02,travel
ola *96p3 pos txn,ola,4944.85,2025-04-06,travel
DEBIT CARD UBER 2762,uber,2762.01,2025-08-12,travel
PURCHASE myntra Ref#4482,myntra,760.16,2025-10-03,shopping
Imps Transfer To Zee5,zee5,814.87,2025-04-21,entertainment
POS flipkart 2291 TXN,flipkart,2291.93,2025-07-06,shopping
PAYMENT TO dmart VIA NETBANKING,dmart,3104.43,2024-11-24,groceries
IMPS transfer to airtel broadband,airtel broadband,3210.72,2025-10-17,utilities
Debit Card Netflix 3599,netflix,3599.62,2025-11-05,entertainment
Online payment to airtel broadband,airtel broadband,4378.34,2025-01-01,utilities
Imps Transfer To Amazon,amazon,1573.22,2025-04-29,shopping
uber *5785 pos txn,uber,4852.62,2025-07-19,travel
Online payment to reliance fresh,reliance fresh,1468.54,2024-11-18,groceries
IMPSatransfer to zee5,zee5,1842.43,2025-03-08,entertainment
POS zee5 1936 TXN,zee5,1936.64,2025-05-30,entertainment
bookmyshow *8531 POS Txn,bookmyshow,2851.77,2025-09-05,entertainment
Upi Payment To Bookmyshoy@Ybl,bookmyshow,1638.09,2024-12-10,entertainment
Online paymest to myntra,myntra,861.29,2025-09-27,shopping
Imps Transfer To Kfc,kfc,2773.25,2024-11-30,restaurants
hMPS transfer tojuber PAY411,uber,3925.2,2025-08-19,travel
Upi pAYmenT tO VodaFONe@ybL,vodafone,2755.99,2025-02-18,utilities
UPI payment to goibibo@ybl,goibibo,4139.45,2025-09-18,travel
Online payment to irctc,irctc,2744.64,2025-08-18,travel
Online payment to airtel broadband,airtel broadband,2448.82,2025-09-07,utilities
IMPS transfer to reliance fresh,reliance fresh,3709.02,2025-07-30,groceries
POS kfc 3872 TXN,kfc,3872.65,2025-02-25,restaurants
DEBIT CARD IRCTC 2055,irctc,2055.01,2025-04-28,travel
Online payment to indigo,indigo,2661.82,2024-12-28,travel
online payment to bookmyshow,bookmyshow,3450.86,2025-10-08,entertainment
PURCHASE dmart Ref#3152,dmart,3711.66,2025-03-29,groceries
Onlinfbpaysent to goabibo,goibibo,2092.87,2025-08-14,travel
DEBIT CARD FLIPKART 1327,flipkart,1327.0,2025-02-25,shopping
Txn 15788: flipkart 2167.74,flipkart,2167.74,2025-02-02,shopping
debit card more supermarket 4818,more supermarket,4818.16,2024-12-30,groceries
DEBIT CARD FLIPKART 421,flipkart,421.82,2025-08-31,shopping
DEBIT CARD VENDIKIN 3554,vendikin,3554.84,2025-07-10,restaurants
DEBIT CARD MCDONALDS 337,mcdonalds,337.68,2025-05-23,restaurants
Txn 25774: flipkart 4275.41,flipkart,4275.41,2025-02-28,shopping
PURCHASE FLIPKART REF#2728 UPI1370,flipkart,4323.12,2025-09-06,shopping
zee5 *5206 POS Txn,zee5,4711.38,2025-04-21,entertainment
PAYMENT TO indigo VIA NETBANKING,indigo,2653.6,2025-01-21,travel
upi payment to bwssb@ybl,bwssb,1361.19,2025-08-21,utilities
SwiggY *1785 pOS tXn onlInE7214,swiggy,4020.37,2025-04-21,restaurants
DEBIT CARD DMART 4582,dmart,4582.64,2025-08-10,groceries
irctc *3827 POS Txn,irctc,1675.96,2025-08-18,travel
zee5 *6441 POS Txn,zee5,4656.15,2025-02-03,entertainment
POS MYNTRA 1993 TXN,myntra,1993.87,2025-04-03,shopping
Online payment to bookmyshow,bookmyshow,1119.8,2025-07-22,entertainment
PURCHASE dominos Ref#3416,dominos,4455.14,2025-04-04,restaurants
PURCHASE OLA REF#4291,ola,2624.53,2025-05-08,travel
PURCHASE kfc Ref#3500,kfc,4837.04,2025-10-25,restaurants
Txn 56198: uber 3483.19,uber,3483.19,2024-11-29,travel
spencems *5871 POS jxn,spencers,835.02,2024-11-11,groceries
PURCHASE bwssb Ref#3725,bwssb,936.99,2025-05-03,utilities
spencers *2891 POS Txn,spencers,1737.64,2025-10-28,groceries
